url,img_url,title,rating,price,availability,category
https://books.toscrape.com/../../../its-only-the-himalayas_981/index.html,https://books.toscrape.com/../../../../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,It's Only the Himalayas,Two stars,Â£45.17,In stock,Travel
https://books.toscrape.com/../../../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/../../../../media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Four stars,Â£49.43,In stock,Travel
https://books.toscrape.com/../../../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/../../../../media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,See America: A Celebration of Our National Parks & Treasured Sites,Three stars,Â£48.87,In stock,Travel
https://books.toscrape.com/../../../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/../../../../media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Two stars,Â£36.94,In stock,Travel
https://books.toscrape.com/../../../under-the-tuscan-sun_504/index.html,https://books.toscrape.com/../../../../media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,Under the Tuscan Sun,Three stars,Â£37.33,In stock,Travel
https://books.toscrape.com/../../../a-summer-in-europe_458/index.html,https://books.toscrape.com/../../../../media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,A Summer In Europe,Two stars,Â£44.34,In stock,Travel
https://books.toscrape.com/../../../the-great-railway-bazaar_446/index.html,https://books.toscrape.com/../../../../media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,The Great Railway Bazaar,One stars,Â£30.54,In stock,Travel
https://books.toscrape.com/../../../a-year-in-provence-provence-1_421/index.html,https://books.toscrape.com/../../../../media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,A Year in Provence (Provence #1),Four stars,Â£56.88,In stock,Travel
https://books.toscrape.com/../../../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,https://books.toscrape.com/../../../../media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),One stars,Â£23.21,In stock,Travel
https://books.toscrape.com/../../../neither-here-nor-there-travels-in-europe_198/index.html,https://books.toscrape.com/../../../../media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,Neither Here nor There: Travels in Europe,Three stars,Â£38.95,In stock,Travel
https://books.toscrape.com/../../../1000-places-to-see-before-you-die_1/index.html,https://books.toscrape.com/../../../../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,"1,000 Places to See Before You Die",Five stars,Â£26.08,In stock,Travel
https://books.toscrape.com/../../../sharp-objects_997/index.html,https://books.toscrape.com/../../../../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Sharp Objects,Four stars,Â£47.82,In stock,Mystery
https://books.toscrape.com/../../../in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/../../../../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,"In a Dark, Dark Wood",One stars,Â£19.63,In stock,Mystery
https://books.toscrape.com/../../../the-past-never-ends_942/index.html,https://books.toscrape.com/../../../../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,The Past Never Ends,Four stars,Â£56.50,In stock,Mystery
https://books.toscrape.com/../../../a-murder-in-time_877/index.html,https://books.toscrape.com/../../../../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,A Murder in Time,One stars,Â£16.64,In stock,Mystery
https://books.toscrape.com/../../../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com/../../../../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,The Murder of Roger Ackroyd (Hercule Poirot #4),Four stars,Â£44.10,In stock,Mystery
https://books.toscrape.com/../../../the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com/../../../../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,The Last Mile (Amos Decker #2),Two stars,Â£54.21,In stock,Mystery
https://books.toscrape.com/../../../that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com/../../../../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,That Darkness (Gardiner and Renner #1),One stars,Â£13.92,In stock,Mystery
https://books.toscrape.com/../../../tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com/../../../../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,Tastes Like Fear (DI Marnie Rome #3),One stars,Â£10.69,In stock,Mystery
https://books.toscrape.com/../../../a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com/../../../../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,A Time of Torment (Charlie Parker #14),Five stars,Â£48.35,In stock,Mystery
https://books.toscrape.com/../../../a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com/../../../../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,A Study in Scarlet (Sherlock Holmes #1),Two stars,Â£16.73,In stock,Mystery
https://books.toscrape.com/../../../poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com/../../../../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,Poisonous (Max Revere Novels #3),Three stars,Â£26.80,In stock,Mystery
https://books.toscrape.com/../../../murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com/../../../../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,Murder at the 42nd Street Library (Raymond Ambler #1),Four stars,Â£54.36,In stock,Mystery
https://books.toscrape.com/../../../most-wanted_623/index.html,https://books.toscrape.com/../../../../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,Most Wanted,Three stars,Â£35.28,In stock,Mystery
https://books.toscrape.com/../../../hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com/../../../../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,Hide Away (Eve Duncan #20),One stars,Â£11.84,In stock,Mystery
https://books.toscrape.com/../../../boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com/../../../../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,Boar Island (Anna Pigeon #19),Three stars,Â£59.48,In stock,Mystery
https://books.toscrape.com/../../../the-widow_609/index.html,https://books.toscrape.com/../../../../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,The Widow,Two stars,Â£27.26,In stock,Mystery
https://books.toscrape.com/../../../playing-with-fire_602/index.html,https://books.toscrape.com/../../../../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,Playing with Fire,Three stars,Â£13.71,In stock,Mystery
https://books.toscrape.com/../../../what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com/../../../../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,What Happened on Beale Street (Secrets of the South Mysteries #2),Five stars,Â£25.37,In stock,Mystery
https://books.toscrape.com/../../../the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com/../../../../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five stars,Â£52.30,In stock,Mystery
https://books.toscrape.com/../../../delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com/../../../../media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,Delivering the Truth (Quaker Midwife Mystery #1),Four stars,Â£20.89,In stock,Mystery
https://books.toscrape.com/../../../the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,https://books.toscrape.com/../../../../media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,The Mysterious Affair at Styles (Hercule Poirot #1),Four stars,Â£24.80,In stock,Mystery
https://books.toscrape.com/../../../in-the-woods-dublin-murder-squad-1_433/index.html,https://books.toscrape.com/../../../../media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,In the Woods (Dublin Murder Squad #1),Two stars,Â£38.38,In stock,Mystery
https://books.toscrape.com/../../../the-silkworm-cormoran-strike-2_280/index.html,https://books.toscrape.com/../../../../media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,The Silkworm (Cormoran Strike #2),Five stars,Â£23.05,In stock,Mystery
https://books.toscrape.com/../../../the-exiled_247/index.html,https://books.toscrape.com/../../../../media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,The Exiled,Three stars,Â£43.45,In stock,Mystery
https://books.toscrape.com/../../../the-cuckoos-calling-cormoran-strike-1_239/index.html,https://books.toscrape.com/../../../../media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,The Cuckoo's Calling (Cormoran Strike #1),One stars,Â£19.21,In stock,Mystery
https://books.toscrape.com/../../../extreme-prey-lucas-davenport-26_154/index.html,https://books.toscrape.com/../../../../media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,Extreme Prey (Lucas Davenport #26),Three stars,Â£25.40,In stock,Mystery
https://books.toscrape.com/../../../career-of-evil-cormoran-strike-3_137/index.html,https://books.toscrape.com/../../../../media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,Career of Evil (Cormoran Strike #3),Two stars,Â£24.72,In stock,Mystery
https://books.toscrape.com/../../../the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,https://books.toscrape.com/../../../../media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Four stars,Â£57.70,In stock,Mystery
https://books.toscrape.com/../../../the-girl-you-lost_66/index.html,https://books.toscrape.com/../../../../media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,The Girl You Lost,Five stars,Â£12.29,In stock,Mystery
https://books.toscrape.com/../../../the-girl-in-the-ice-dci-erika-foster-1_65/index.html,https://books.toscrape.com/../../../../media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,The Girl In The Ice (DCI Erika Foster #1),Three stars,Â£15.85,In stock,Mystery
https://books.toscrape.com/../../../blood-defense-samantha-brinkman-1_8/index.html,https://books.toscrape.com/../../../../media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,Blood Defense (Samantha Brinkman #1),Three stars,Â£20.30,In stock,Mystery
https://books.toscrape.com/../../../1st-to-die-womens-murder-club-1_2/index.html,https://books.toscrape.com/../../../../media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,1st to Die (Women's Murder Club #1),One stars,Â£53.98,In stock,Mystery
